流水號,主編號,屬性,又音
977,13077,又唸作,sik-khiau
978,13077,又唸作,sik-kia
979,13113,又唸作,bīn-thâu
980,13116,又唸作,kiâm-muâi
981,13137,又唸作,hia-pai
982,13140,又唸作,nuā-thôo-muâi
983,13172,又唸作,lòo-tsuí
984,13189,又唸作,hōo-tsiò
985,13197,又唸作,lo̍k-iânn
986,13231,又唸作,kuân
987,13232,又唸作,kuân-li̍k
988,13234,又唸作,kuân-lī
989,13237,又唸作,kuân-ui
990,13238,又唸作,kuân-hān
991,13308,又唸作,lìng
992,13324,又唸作,kiann tshenn-hūn/kiann tshinn-hūn
993,13344,又唸作,lìng phuē/lìng phē
994,13347,又唸作,pìnn-khuán
995,13376,又唸作,liân-tsi
996,13544,又唸作,thenn
997,13545,又唸作,thenn-í
998,13557,又唸作,thit-thô
999,13558,又唸作,thit-thô-lâng
1000,13559,又唸作,thit-thô gín-á
1001,13560,又唸作,thit-thô-mi̍h/thit-thô-mn̍gh
1002,13561,又唸作,thit-thô-mih-á
1003,13609,又唸作,but
1004,13636,又唸作,thap
1005,8379,又唸作,phiak
1006,11373,又唸作,hê-koo-phiak-á
1007,8158,又唸作,niáu-tshí-phiak-á/niáu-tshú-phiak-á
1008,8164,又唸作,tsiáu-phiak-á
1009,12646,又唸作,siān-âng-á
1010,12646,又唸作,siān-lâng-á
1011,12646,又唸作,siān-tâng-á
1012,12646,又唸作,sîn-âng-á
1013,2416,又唸作,tshūn-pān
1014,2329,又唸作,tshūn-sí
1015,13515,又唸作,uaih-tio̍h
1016,13514,又唸作,uaih
1017,34,又唸作,it-kài
1018,50033,又唸作,tshui-tshut
1019,50057,又唸作,kuè-thîng/kè-thîng
1020,50060,又唸作,kìng-hong
1021,50066,又唸作,thîng-sik
1022,50071,又唸作,guân-kang
1023,50079,又唸作,kiû-guân
1024,50110,又唸作,biān-tuì
1025,50146,又唸作,tshui-tōng
1026,50152,又唸作,kang-khū
1027,50168,又唸作,tài-lâi
1028,50196,又唸作,iú-hāu
1029,50198,又唸作,sîng-guân
1030,50252,又唸作,kì-lio̍k
1031,50284,又唸作,tāi-kài
1032,50294,又唸作,pó-tsiòng
1033,50303,又唸作,huē-guân
1034,50304,又唸作,kìng-suán
1035,50313,又唸作,tshui-tsiàn
1036,50334,又唸作,sîng-sio̍k
1037,50343,又唸作,tsí-phiau
1038,50350,又唸作,líng-i̍k
1039,50362,又唸作,hîng-thîng
1040,50367,又唸作,khài-liām
1041,50374,又唸作,kì-lio̍k
1042,50381,又唸作,huân-pó
1043,50386,又唸作,im-hiáng
1044,50395,又唸作,hun-hiáng
1045,50470,又唸作,lo̍h-si̍t
1046,50472,又唸作,kua-ki̍k
1047,50506,又唸作,tong-tiong
1048,50507,又唸作,phiau-sī
1049,50510,又唸作,lio̍k-tshú
1050,50545,又唸作,pâi-tî
1051,50558,又唸作,hông-hōo
1052,50576,又唸作,kìng-sài
1053,50594,又唸作,kuàn-tshuan
1054,50599,又唸作,î-hōo
1055,50609,又唸作,ngôo-lo̍k
1056,50633,又唸作,tsiân-uī
1057,50636,又唸作,ka-khū
1058,50638,又唸作,tài-niá
1059,50690,又唸作,hóo-jīn/hóo-līn
1060,50721,又唸作,uân-khu
1061,50737,又唸作,īng-lâi
